race,driver,quali_pos
Yas Marina Circuit,Yuki Tsunoda,11
Yas Marina Circuit,Nicholas Latifi,20
Yas Marina Circuit,Daniel Ricciardo,13
Yas Marina Circuit,Lando Norris,7
Yas Marina Circuit,Carlos Sainz,4
Yas Marina Circuit,Charles Leclerc,3
Yas Marina Circuit,Fernando Alonso,10
Yas Marina Circuit,Esteban Ocon,8
Yas Marina Circuit,Lewis Hamilton,5
Yas Marina Circuit,George Russell,6
Yas Marina Circuit,Sergio Pérez,2
Yas Marina Circuit,Max Verstappen,1
Yas Marina Circuit,Lance Stroll,14
Yas Marina Circuit,Valtteri Bottas,18
Yas Marina Circuit,Guanyu Zhou,15
Yas Marina Circuit,Kevin Magnussen,16
Yas Marina Circuit,Mick Schumacher,12
Yas Marina Circuit,Alexander Albon,19
Yas Marina Circuit,Pierre Gasly,17
Yas Marina Circuit,Sebastian Vettel,9
